,_step,_runtime,trainable_parameters,_timestamp,rewards/total_std,rewards/sim_std,rewards/cer_std,train/loss,train/lr,rewards/raw_cer_mean,train/avg_epoch_loss,train/step,train/skipped_batches,rewards/raw_sim_mean,rewards/total_mean,eval/loss,eval/best_loss
0,0,7.373294187,533476352.0,1772452553.9746025,,,,,,,,,,,,,
1,1,68.508690712,,1772452608.7570686,0.4979296028614044,0.9958592057228088,0.0,0.17817425727844238,0.0,-0.054488085210323334,0.20216096751391888,1.0,0.0,0.8845462799072266,7.82310962677002e-07,,
2,2,103.281714478,,1772452642.4719763,0.49644410610198975,0.9928882122039795,0.0,0.17726387083530426,2.666666666666667e-07,-0.052443522959947586,0.19439938850700855,2.0,0.0,0.8998512029647827,1.5869736671447754e-06,,
3,3,139.236823531,,1772452674.1067164,0.4978076219558716,0.9956152439117432,0.0,0.1727774441242218,2.666666666666667e-07,-0.05227089673280716,1.3644374404102564,3.0,0.0,0.8588123321533203,9.08970832824707e-07,,
4,4,362.831250033,,1772452909.4252155,0.49513864517211914,0.9902772903442383,0.0,0.2095072865486145,5.333333333333335e-07,-0.05215732008218765,1.0716143399477005,4.0,0.0,0.8894857168197632,1.994892954826355e-06,,
5,5,396.546117414,,1772452937.616435,0.4984005391597748,0.9968010783195496,0.0,0.18229039013385773,8.000000000000001e-07,-0.05340096727013588,0.8972372066229581,5.0,0.0,0.8633049130439758,-1.862645149230957e-07,0.16690495610237122,0.16690495610237122
6,6,429.749142454,,1772452969.251741,0.49763980507850647,0.9952796101570129,0.0,0.18227319419384003,1.066666666666667e-06,-0.05174526944756508,0.7799329130599896,6.0,0.0,0.898948073387146,2.644956111907959e-07,,
7,7,463.278133607,,1772453009.5795922,0.4981241226196289,0.9962482452392578,0.0,0.18637903034687042,1.3333333333333334e-06,-0.05103166028857231,0.7267549144370216,7.0,0.0,0.8872075080871582,4.3213367462158203e-07,,
8,8,492.701912564,,1772453038.4237013,0.49789610505104065,0.9957922101020813,0.0,0.21478240191936493,1.6000000000000001e-06,-0.05215761065483093,0.6611551265232265,8.0,0.0,0.8673255443572998,-3.8929283618927e-07,,
9,9,713.125124818,,1772453254.691523,0.49673858284950256,0.9934771656990051,0.0,0.19919298589229584,1.8666666666666669e-06,-0.05150950700044632,0.6094355061650276,9.0,0.0,0.879905104637146,-1.3299286365509033e-06,,
